English	French
trust me on that	fiez vous à moi en la matière
today is extremely hot	aujourd hui il fait extrêmement chaud
let me know	avise moi
his new car is wonderful	sa nouvelle voiture est merveilleuse
what are some foods you usually eat with chopsticks	quels sont les aliments que vous mangez habituellement avec des baguettes
do not ever do that again	ne refaites jamais ça
meeting boys is hard	rencontrer des garçons est difficile
why are you so scared to talk to him	pourquoi avez vous si peur de lui parler
what is the total amount of money you spent	quel est le montant total d argent que tu as dépensé
the author is brazilian	l auteur est brésilien
what was the time of death	quelle fut l heure de la mort
tom is not a very good cook	tom ne est pas très bon cuisinier
save your long winded explanations for someone else	épargne tes explications alambiquées pour quelqu un d autre
i hear music	j entends de la musique
sometimes trying your best just is not good enough	parfois faire de son mieux ne est tout simplement pas suffisant
i am chubby	je suis grassouillette
i am sorry to bother you so often	je suis désolé de t ennuyer si souvent
i never said you were lying	je n ai jamais dit que vous mentiez
he wants you to come home	il veut que tu viennes chez lui
i need air	je ai besoin d air
we have things all worked out	nous avons tout arrangé
there are no more bullets in my gun	il n y a plus de balles dans mon arme
did you have a good time yesterday	vous êtes vous bien amusés hier
read whatever you like	lis ce que tu veux
we have a serious problem	nous avons un sérieux problème
you can sit down if you want	vous pouvez vous asseoir si vous le désirez
he tried to kill himself	il a tenté de se suicider
if i have misjudged you i am terribly sorry	je suis profondément désolée si je vous ai méjugée
he sat on the bed	il s assit sur le lit
no one will believe us	personne ne nous croira
drop me a line	laissez moi un mot
that type of person almost never asks for a raise	ce genre de personne ne demande presque jamais d augmentation
i am allergic to seafood	je suis allergique aux fruits de mer
you are very attractive	vous êtes fort attirante
i cannot afford a holiday	je ne peux pas me permettre de prendre des vacances
i woke up at five this morning	je me suis réveillé à cinq heures du matin
he was fired by the school	il a été expulsé par l école
they are no more alike than a cow and a canary	ils ne sont pas plus semblables qu une vache à un canari
will it fit	cela passera t il
the television does not work	le téléviseur ne marche pas
would you like to go to the zoo this afternoon	est ce que tu voudrais aller au zoo cet après midi
i just do not want to be disappointed again	je ne veux tout simplement pas être à nouveau déçu
they are all hungry	ils ont tous faim
cannot you reach the book on the shelf	peux tu attraper ce livre sur l étagère
i believe tom is right	je crois que tom a raison
we study french	nous étudions le français
you should have told him about it while he was here	tu aurais dû lui en parler tandis qu il était là
i do not know much about computers	je ne m y connais pas trop en ordinateurs
tom does not know that he is adopted	tom ne sait pas qu il est adopté
why did not you tell me you were sick	pourquoi ne m avez vous pas dit que vous étiez malade
i just do not want to have people thinking i am weak	je ne veux tout simplement pas que les gens pensent que je suis faible
please do not forget to put a stamp on the letter before mailing it	n oubliez pas d apposer un timbre sur la lettre avant de l envoyer je vous prie
what is the address of the new bookshop	quelle est l adresse de la nouvelle librairie
you are very astute	vous êtes fort astucieuses
we did not reach any conclusions	nous ne sommes parvenus à aucune conclusion
people laughed at him	les gens se sont moqués de lui
why did it have to be me	pourquoi cela devait il être moi
i live in japan	je vis au japon
please send me a letter as soon as you arrive	veuillez m écrire une lettre dès que vous arrivez
that last round of chemo really sapped his energy	cette dernière séance de chimio a réellement vidé mon énergie
he had an unpleasant screechy voice	il avait une désagréable voix perçante
you are starting to scare me	vous commencez à me faire peur
do not tell me to calm down	ne me dites pas de me calmer
this train stops at all stations	ce train s arrête à toutes les stations
that s what you should say	ce est ce que tu devrais dire
are you flirting with me	es tu en train de me draguer
what do you call this bird	comment nomme t on cet oiseau
it has been just a week since i arrived in new york	ça fait justement une semaine que je suis arrivé à new york
curiously a flower bloomed on the withered up tree	curieusement une fleur s épanouit sur l arbre desséché
my son thinks women are stronger than men	mon fils pense que les femmes sont plus fortes que les hommes
i appreciate your cooperation	j apprécie votre coopération
why did not we think of that before	pourquoi n avons nous pas pensé à ça avant
please put on your shoes	veuillez mettre vos chaussures
our new head office is in tokyo	notre nouveau quartier général se trouve à tokyo
there s no one sitting here	personne ne est assis ici
no one got hurt	personne n a été blessé
i question your sincerity	je mets votre sincérité en doute
i am not embarrassed	je ne suis pas embarrassée
give me some more tea	donnez moi un peu plus de thé
my left arm is asleep	mon bras gauche est ankylosé
i do not think i could live without you	je ne pense pas que je puisse vivre sans toi
where did you meet your girlfriend	où avez vous rencontré votre petite amie
we depend on you	nous dépendons de toi
anybody in here	y a t il qui que ce soit là dedans
is there something in particular that you want to study	y a t il quelque chose en particulier que vous veuillez étudier
you need to focus on your strengths	il te faut te concentrer sur tes points forts
it may already be too late for him	il se peut qu il soit trop tard pour lui
he broke them	il les a cassées
i just do not want to be left alone	je ne veux simplement pas être laissée toute seule
did you find anything	avez vous trouvé quoi que ce soit
trees do not grow on prairies	les arbres ne poussent pas dans les prairies
you are not the first	vous n êtes pas le premier
he said to her under his breath i love you	il lui a dit à voix basse je t aime
she told me that she loved me	elle m a dit qu elle m aimait
it is a type of body piercing	ce est un type de piercing corporel
we need to conserve ammunition	nous avons besoin de conserver des munitions
she never managed to pay the bill on time	elle ne est jamais arrivée à payer la facture au terme
